created_at|latitude|longitude
2016-11-07 06:34:03|1.384618|103.758063
2016-11-07 06:34:13|1.385874|103.756824
2016-11-07 06:34:22|1.386309|103.757248
2016-11-07 06:34:33|1.386023|103.757354
2016-11-07 06:34:42|1.386097|103.756977
2016-11-07 06:34:53|1.386125|103.757384
2016-11-07 06:34:53|1.386125|103.757384
2016-11-07 06:35:13|1.386123|103.757746
2016-11-07 06:35:24|1.385920|103.757570
2016-11-07 06:35:24|1.385920|103.757570
2016-11-07 06:35:45|1.385941|103.756906
2016-11-07 06:35:56|1.386342|103.758388
2016-11-07 06:36:06|1.386152|103.757765
2016-11-07 06:36:06|1.386152|103.757765
2016-11-07 06:36:27|1.385853|103.756858
2016-11-07 06:36:37|1.389019|103.757700
2016-11-07 06:36:47|1.384618|103.758063
2016-11-07 06:37:09|1.386583|103.757754
2016-11-07 06:37:09|1.386583|103.757754
2016-11-07 06:37:28|1.386194|103.758017
2016-11-07 06:37:38|1.385789|103.758425
2016-11-07 06:37:38|1.385789|103.758425
2016-11-07 06:37:50|1.386045|103.758560
2016-11-07 06:38:00|1.385677|103.758651
2016-11-07 06:38:10|1.386504|103.759616
2016-11-07 06:38:20|1.385470|103.759408
2016-11-07 06:38:31|1.384619|103.760309
2016-11-07 06:38:41|1.384106|103.759587
2016-11-07 06:38:52|1.383949|103.759246
2016-11-07 06:39:03|1.383949|103.759246
2016-11-07 06:39:13|1.383949|103.759246
2016-11-07 06:39:23|1.383949|103.759246
2016-11-07 06:39:33|1.383949|103.759246
2016-11-07 06:39:43|1.383949|103.759246
2016-11-07 06:39:54|1.383767|103.758979
2016-11-07 06:40:04|1.384301|103.758302
2016-11-07 06:40:14|1.385305|103.757279
2016-11-07 06:40:24|1.386223|103.756607
2016-11-07 06:40:34|1.387058|103.756017
2016-11-07 06:40:45|1.388505|103.755194
2016-11-07 06:40:55|1.390154|103.754586
2016-11-07 06:41:05|1.391851|103.754160
2016-11-07 06:41:16|1.393338|103.753989
2016-11-07 06:41:26|1.394622|103.753825
2016-11-07 06:41:37|1.396232|103.754248
2016-11-07 06:41:48|1.397911|103.754825
2016-11-07 06:41:59|1.399533|103.755407
2016-11-07 06:42:09|1.401350|103.755781
2016-11-07 06:42:19|1.403259|103.756097
2016-11-07 06:42:19|1.403259|103.756097
2016-11-07 06:42:30|1.405306|103.756090
2016-11-07 06:42:40|1.407134|103.756181
2016-11-07 06:42:51|1.408802|103.755909
2016-11-07 06:43:02|1.410369|103.755692
2016-11-07 06:43:13|1.411219|103.755758
2016-11-07 06:43:23|1.411219|103.755758
2016-11-07 06:43:34|1.411396|103.755776
2016-11-07 06:43:45|1.411656|103.756657
2016-11-07 06:43:56|1.411813|103.757955
2016-11-07 06:44:07|1.411972|103.759423
2016-11-07 06:44:17|1.411700|103.760926
2016-11-07 06:44:27|1.410941|103.762568
2016-11-07 06:44:37|1.410478|103.764339
2016-11-07 06:44:47|1.410369|103.766058
2016-11-07 06:44:58|1.410207|103.767974
2016-11-07 06:45:08|1.410227|103.769710
2016-11-07 06:45:19|1.410174|103.770890
2016-11-07 06:45:19|1.410174|103.770890
2016-11-07 06:45:30|1.410175|103.770913
2016-11-07 06:45:40|1.410169|103.770953
2016-11-07 06:45:51|1.410087|103.771762
2016-11-07 06:46:02|1.410049|103.773286
2016-11-07 06:46:13|1.410617|103.775262
2016-11-07 06:46:23|1.410898|103.777233
2016-11-07 06:46:34|1.410849|103.778360
2016-11-07 06:46:44|1.410797|103.779114
2016-11-07 06:46:54|1.410769|103.780715
2016-11-07 06:47:04|1.410902|103.782583
2016-11-07 06:47:14|1.411388|103.784337
2016-11-07 06:47:25|1.412005|103.786321
2016-11-07 06:47:35|1.412472|103.788351
2016-11-07 06:47:46|1.412897|103.790527
2016-11-07 06:47:56|1.413599|103.792516
2016-11-07 06:48:07|1.414344|103.794613
2016-11-07 06:48:17|1.414910|103.796520
2016-11-07 06:48:28|1.415459|103.798550
2016-11-07 06:48:38|1.415863|103.800273
2016-11-07 06:48:48|1.415999|103.800956
2016-11-07 06:48:59|1.415999|103.800956
2016-11-07 06:48:59|1.415999|103.800956
2016-11-07 06:49:10|1.416113|103.801476
2016-11-07 06:49:20|1.416146|103.803016
2016-11-07 06:49:31|1.415020|103.804681
2016-11-07 06:49:42|1.414292|103.806376
2016-11-07 06:49:52|1.415056|103.808004
2016-11-07 06:50:03|1.415538|103.809859
